"choice_set","alternative","distance_5min","wait_sameweek","provider_md","copay","choice"
"56_2","B",1,0,1,50,0
"56_3","A",1,0,0,25,1
"56_3","B",0,0,1,50,0
"56_4","A",1,0,1,50,0
"56_4","B",1,0,0,25,1
"56_5","A",0,0,1,25,1
"56_5","B",1,0,1,50,0
"56_6","A",0,1,0,25,0
"56_6","B",1,1,1,25,1
"56_7","A",0,1,0,25,1
"56_7","B",0,0,1,25,0
"56_8","A",0,0,0,50,0
"56_8","B",1,0,0,50,1
"57_1","A",0,1,0,50,0
"57_1","B",1,0,1,25,1
"57_2","A",1,0,0,25,1
"57_2","B",0,1,1,50,0
"57_3","A",1,0,0,50,0
"57_3","B",1,1,1,50,1
"57_4","A",0,0,0,50,0
"57_4","B",0,1,0,50,1
"57_5","A",1,1,1,25,1
"57_5","B",0,0,0,50,0
"57_6","A",0,1,1,25,0
"57_6","B",1,1,0,25,1
"57_7","A",1,1,0,25,1
"57_7","B",1,1,0,50,0
"57_8","A",0,0,1,50,0
"57_8","B",1,0,0,25,1
"58_1","A",1,1,0,25,1
"58_1","B",1,0,1,25,0
"58_2","A",1,1,1,50,1
"58_2","B",0,0,0,50,0
"58_3","A",0,0,0,25,0
"58_3","B",1,0,0,50,1
"58_4","A",0,0,1,50,0
"58_4","B",0,1,1,50,1
"58_5","A",1,0,0,50,1
"58_5","B",0,0,1,50,0
"58_6","A",0,0,1,50,0
"58_6","B",0,0,1,25,1
"58_7","A",0,1,0,25,0
"58_7","B",1,1,1,25,1
"58_8","A",1,0,1,25,0
"58_8","B",1,1,1,50,1
"59_1","A",0,1,1,25,0
"59_1","B",1,0,1,25,1
"59_2","A",0,0,0,25,0
"59_2","B",0,1,1,50,1
"59_3","A",1,1,0,50,0
"59_3","B",1,1,1,50,1
"59_4","A",0,1,1,50,0
"59_4","B",1,1,1,50,1
"59_5","A",1,1,1,25,1
"59_5","B",1,0,0,25,0
"59_6","A",0,1,0,50,0
"59_6","B",1,0,0,25,1
"59_7","A",0,0,0,50,0
"59_7","B",1,0,1,50,1
"59_8","A",0,0,1,50,0
"59_8","B",0,1,0,50,1
"5_1","A",0,0,1,50,0
"5_1","B",1,1,1,50,1
"5_2","A",1,1,0,50,1
"5_2","B",0,1,0,50,0
"5_3","A",0,1,1,50,0
"5_3","B",1,1,1,50,1
"5_4","A",1,0,1,50,0
"5_4","B",0,1,1,50,1
"5_5","A",1,0,0,50,0
"5_5","B",0,1,0,25,1
"5_6","A",0,1,1,50,1
"5_6","B",0,0,0,50,0
"5_7","A",1,0,0,50,0
"5_7","B",1,1,0,25,1
"5_8","A",1,0,0,50,0
"5_8","B",1,1,1,25,1
"60_1","A",0,0,1,50,0
"60_1","B",0,1,1,50,1
"60_2","A",1,1,0,25,1
"60_2","B",0,0,0,25,0
"60_3","A",1,1,1,25,1
"60_3","B",1,1,0,25,0
"60_4","A",1,1,0,50,1
"60_4","B",0,0,1,50,0
"60_5","A",1,0,1,50,1
"60_5","B",0,0,0,25,0
"60_6","A",1,0,1,25,0
"60_6","B",1,1,1,25,1
"60_7","A",0,1,0,25,1
"60_7","B",1,0,0,50,0
"60_8","A",1,1,0,50,0
"60_8","B",1,0,1,25,1
"61_1","A",1,1,0,25,1
"61_1","B",0,0,0,50,0
"61_2","A",1,1,1,25,1
"61_2","B",1,1,1,50,0
"61_3","A",1,1,1,25,1
"61_3","B",1,0,0,50,0
"61_4","A",0,0,0,25,1
"61_4","B",0,0,1,50,0
"61_5","A",1,0,1,25,1
"61_5","B",1,0,0,25,0
"61_6","A",1,0,0,50,0
"61_6","B",0,1,0,50,1
"61_7","A",1,1,1,50,1
"61_7","B",0,0,1,25,0
"61_8","A",1,1,1,50,1
"61_8","B",0,0,1,25,0
"62_1","A",1,0,0,50,0
"62_1","B",0,1,0,25,1
"62_2","A",0,0,0,25,0
"62_2","B",1,0,1,25,1
"62_3","A",0,1,0,25,1
"62_3","B",0,0,0,50,0
"62_4","A",1,0,0,50,1
"62_4","B",0,0,1,50,0
"62_5","A",1,1,0,25,1
"62_5","B",0,1,0,50,0
"62_6","A",1,1,0,25,1
"62_6","B",0,1,1,25,0
"62_7","A",1,1,0,50,1
"62_7","B",0,1,0,50,0
"62_8","A",1,1,1,50,1
"62_8","B",0,0,1,25,0
"63_1","A",1,0,0,50,1
"63_1","B",0,0,0,50,0
"63_2","A",1,1,0,50,0
"63_2","B",0,1,0,25,1
"63_3","A",0,0,1,50,0
"63_3","B",0,1,1,50,1
"63_4","A",1,0,1,25,0
"63_4","B",1,1,1,25,1
"63_5","A",0,0,0,25,0
"63_5","B",1,1,0,25,1
"63_6","A",1,0,0,50,0
"63_6","B",0,0,1,25,1
"63_7","A",0,0,0,50,0
"63_7","B",0,0,1,25,1
"63_8","A",1,1,0,50,1
"63_8","B",1,0,1,50,0
"64_1","A",0,1,0,50,0
"64_1","B",1,0,1,25,1
"64_2","A",0,0,1,25,1
"64_2","B",0,0,0,50,0
"64_3","A",0,0,0,50,0
"64_3","B",1,1,0,50,1
"64_4","A",0,1,0,50,0
"64_4","B",1,0,1,25,1
"64_5","A",0,0,1,25,0
"64_5","B",1,1,1,50,1
"64_6","A",1,1,0,25,1
"64_6","B",0,0,0,25,0
"64_7","A",0,1,0,50,1
"64_7","B",0,0,0,25,0
"64_8","A",1,1,0,50,0
"64_8","B",1,1,1,25,1
"65_1","A",0,0,1,25,1
"65_1","B",1,0,0,50,0
"65_2","A",1,1,0,50,1
"65_2","B",1,0,0,25,0
"65_3","A",1,0,0,25,0
"65_3","B",1,1,0,50,1
"65_4","A",1,0,1,50,0
"65_4","B",0,1,1,50,1
"65_5","A",1,1,1,25,1
"65_5","B",1,0,0,25,0
"65_6","A",0,0,0,50,0
"65_6","B",0,1,0,50,1
"65_7","A",1,0,0,50,0
"65_7","B",1,0,1,50,1
"65_8","A",0,1,0,50,1
"65_8","B",0,0,0,25,0
"66_1","A",1,0,1,50,0
"66_1","B",1,1,0,25,1
"66_2","A",1,1,0,25,1
"66_2","B",0,1,0,25,0
"66_3","A",1,0,0,25,0
"66_3","B",1,0,1,25,1
"66_4","A",1,0,0,50,0
"66_4","B",0,1,1,50,1
"66_5","A",0,0,0,50,0
"66_5","B",0,0,1,25,1
"66_6","A",0,1,1,25,0
"66_6","B",1,1,0,50,1
"66_7","A",1,1,1,25,1
"66_7","B",0,1,0,50,0
"66_8","A",1,1,0,25,1
"66_8","B",1,0,1,50,0
"67_1","A",0,0,1,25,0
"67_1","B",1,1,0,50,1
"67_2","A",0,0,1,25,0
"67_2","B",1,0,0,25,1
"67_3","A",0,0,0,25,0
"67_3","B",1,0,1,25,1
"67_4","A",1,1,1,50,1
"67_4","B",0,1,0,50,0
"67_5","A",0,0,1,50,0
"67_5","B",1,0,1,50,1
"67_6","A",1,0,0,25,0
"67_6","B",0,1,0,25,1
"67_7","A",1,1,1,25,1
"67_7","B",1,0,1,25,0
"67_8","A",1,0,1,25,0
"67_8","B",1,1,1,50,1
"68_1","A",1,0,0,50,0
"68_1","B",0,1,1,25,1
"68_2","A",0,0,0,25,0
"68_2","B",1,1,0,50,1
"68_3","A",0,0,1,50,0
"68_3","B",0,1,1,50,1
"68_4","A",0,0,1,50,0
"68_4","B",1,1,0,25,1
"68_5","A",1,0,1,50,1
"68_5","B",0,1,0,50,0
"68_6","A",0,1,0,25,1
"68_6","B",0,0,1,50,0
"68_7","A",1,0,0,25,1
"68_7","B",0,0,1,25,0
"68_8","A",0,1,1,50,0
"68_8","B",0,1,1,25,1
"69_1","A",0,0,0,25,0
"69_1","B",1,0,1,50,1
"69_2","A",1,1,0,25,1
"69_2","B",0,1,1,50,0
"69_3","A",0,0,0,50,0
"69_3","B",1,1,1,50,1
"69_4","A",1,1,1,25,1
"69_4","B",0,0,0,50,0
"69_5","A",1,1,0,50,1
"69_5","B",0,1,0,25,0
"69_6","A",1,0,0,50,0
"69_6","B",1,1,1,25,1
"69_7","A",1,1,0,50,0
"69_7","B",1,1,0,25,1
"69_8","A",1,0,1,50,0
"69_8","B",1,1,0,50,1
"6_1","A",0,0,0,50,0
"6_1","B",1,1,1,25,1
"6_2","A",0,1,0,25,1
"6_2","B",0,0,0,25,0
"6_3","A",0,0,1,50,0
"6_3","B",1,0,1,25,1
"6_4","A",0,0,0,50,0
"6_4","B",0,0,0,25,1
"6_5","A",0,0,1,50,0
"6_5","B",0,1,1,25,1
"6_6","A",1,1,0,50,1
"6_6","B",1,0,1,25,0
"6_7","A",1,1,1,25,1
"6_7","B",0,0,1,25,0
"6_8","A",0,0,1,50,0
"6_8","B",1,0,0,50,1
"70_1","A",1,0,0,50,0
"70_1","B",1,0,0,25,1
"70_2","A",1,0,0,25,0
"70_2","B",1,1,1,50,1
"70_3","A",0,0,1,25,0
"70_3","B",0,1,0,25,1
"70_4","A",1,1,0,25,1
"70_4","B",1,0,0,25,0
"70_5","A",1,1,1,50,1
"70_5","B",0,0,1,50,0
"70_6","A",0,0,1,50,0
"70_6","B",0,0,1,25,1
"70_7","A",0,1,0,25,0
"70_7","B",1,1,0,50,1
"70_8","A",1,0,1,50,1
"70_8","B",1,0,0,50,0
"71_1","A",1,0,1,25,1
"71_1","B",0,0,0,25,0
"71_2","A",1,1,0,50,1
"71_2","B",0,1,0,50,0
"71_3","A",0,0,1,25,0
"71_3","B",1,0,1,25,1
"71_4","A",1,0,1,25,1
"71_4","B",1,0,0,25,0
"71_5","A",0,1,1,50,1
"71_5","B",0,0,0,25,0
"71_6","A",0,1,1,50,1
"71_6","B",0,0,1,50,0
"71_7","A",0,0,0,25,0
"71_7","B",1,1,0,50,1
"71_8","A",1,1,1,25,1
"71_8","B",1,0,0,25,0
"72_1","A",0,1,0,50,0
"72_1","B",0,1,1,50,1
"72_2","A",1,1,0,25,1
"72_2","B",0,1,1,50,0
"72_3","A",1,1,0,25,1
"72_3","B",1,1,1,50,0
"72_4","A",0,1,1,50,1
"72_4","B",0,0,0,50,0
"72_5","A",1,1,0,50,1
"72_5","B",0,0,0,50,0
"72_6","A",1,1,0,25,1
"72_6","B",0,0,1,50,0
"72_7","A",0,0,0,50,1
"72_7","B",0,0,0,25,0
"72_8","A",1,1,0,50,1
"72_8","B",1,0,1,50,0
"73_1","A",1,0,0,50,0
"73_1","B",1,0,1,50,1
"73_2","A",1,1,1,50,1
"73_2","B",1,0,1,25,0
"73_3","A",1,0,1,25,1
"73_3","B",0,0,0,25,0
"73_4","A",0,0,1,25,0
"73_4","B",0,1,0,25,1
"73_5","A",0,0,1,25,0
"73_5","B",1,0,1,50,1
"73_6","A",1,1,1,25,1
"73_6","B",0,1,1,50,0
"73_7","A",0,1,0,50,1
"73_7","B",0,0,1,25,0
"73_8","A",0,1,1,50,0
"73_8","B",0,1,0,25,1
"74_1","A",0,1,0,50,1
"74_1","B",0,0,1,50,0
"74_2","A",0,1,0,50,0
"74_2","B",0,1,1,25,1
"74_3","A",1,0,0,50,0
"74_3","B",1,0,0,25,1
"74_4","A",0,1,1,25,1
"74_4","B",1,0,1,25,0
"74_5","A",0,0,0,25,0
"74_5","B",1,0,1,25,1
"74_6","A",0,1,0,50,1
"74_6","B",1,0,1,50,0
"74_7","A",0,1,1,25,1
"74_7","B",1,0,1,50,0
"74_8","A",0,1,0,50,0
"74_8","B",1,1,1,50,1
"75_1","A",0,0,1,50,0
"75_1","B",0,1,0,50,1
"75_2","A",0,1,1,50,0
"75_2","B",1,1,0,50,1
"75_3","A",1,1,1,50,0
"75_3","B",1,1,1,25,1
"75_4","A",1,1,1,50,1
"75_4","B",0,1,1,25,0
"75_5","A",1,0,0,50,0
"75_5","B",1,0,1,50,1
"75_6","A",1,0,0,25,0
"75_6","B",1,1,0,25,1
"75_7","A",0,0,0,25,0
"75_7","B",1,1,0,25,1
"75_8","A",1,1,1,50,1
"75_8","B",0,1,0,25,0
"76_1","A",0,1,1,25,1
"76_1","B",0,0,1,50,0
"76_2","A",0,1,1,50,0
"76_2","B",1,1,0,50,1
"76_3","A",1,0,0,25,1
"76_3","B",0,0,0,50,0
"76_4","A",0,1,1,25,1
"76_4","B",0,0,1,50,0
"76_5","A",1,1,0,50,1
"76_5","B",1,0,0,50,0
"76_6","A",1,0,0,25,1
"76_6","B",0,0,1,25,0
"76_7","A",1,0,0,50,1
"76_7","B",0,0,1,50,0
"76_8","A",0,1,0,25,1
"76_8","B",0,1,0,50,0
"77_1","A",1,1,0,25,0
"77_1","B",1,1,1,25,1
"77_2","A",0,0,1,50,0
"77_2","B",0,0,0,25,1
"77_3","A",0,0,1,50,0
"77_3","B",1,0,1,50,1
"77_4","A",0,0,1,50,0
"77_4","B",0,1,1,25,1
"77_5","A",0,0,1,50,0
"77_5","B",1,1,1,25,1
"77_6","A",0,1,0,50,0
"77_6","B",1,0,1,25,1
"77_7","A",0,1,0,50,0
"77_7","B",0,1,0,25,1
"77_8","A",0,0,1,25,1
"77_8","B",0,1,0,50,0
"78_1","A",1,1,0,50,1
"78_1","B",0,1,1,50,0
"78_2","A",1,1,1,50,0
"78_2","B",1,1,1,25,1
"78_3","A",0,1,0,25,1
"78_3","B",0,0,0,50,0
"78_4","A",0,1,0,25,0
"78_4","B",1,1,0,50,1
"78_5","A",1,1,0,25,1
"78_5","B",1,0,0,25,0
"78_6","A",0,0,1,50,0
"78_6","B",0,1,0,50,1
"78_7","A",1,0,1,50,0
"78_7","B",1,1,0,50,1
"78_8","A",0,1,1,50,0
"78_8","B",1,1,0,50,1
"79_1","A",1,0,0,25,1
"79_1","B",0,0,0,25,0
"79_2","A",1,0,1,50,1
"79_2","B",0,0,0,50,0
"79_3","A",1,0,1,25,1
"79_3","B",0,1,1,50,0
"79_4","A",1,1,0,50,1
"79_4","B",1,0,0,50,0
"79_5","A",1,0,0,25,0
"79_5","B",1,0,1,25,1
"79_6","A",1,0,1,25,1
"79_6","B",0,0,0,25,0
"79_7","A",1,1,1,50,1
"79_7","B",1,0,0,25,0
"79_8","A",1,1,0,25,1
"79_8","B",0,0,0,25,0
"7_1","A",1,0,1,50,1
"7_1","B",0,0,1,25,0
"7_2","A",1,1,0,25,1
"7_2","B",1,0,1,25,0
"7_3","A",0,0,0,25,0
"7_3","B",1,0,0,25,1
"7_4","A",0,0,1,50,1
"7_4","B",0,0,0,50,0
"7_5","A",1,1,1,25,1
"7_5","B",0,0,1,50,0
"7_6","A",1,0,1,50,0
"7_6","B",1,1,1,25,1
"7_7","A",0,1,1,25,1
"7_7","B",0,0,0,50,0
"7_8","A",0,0,1,50,0
"7_8","B",1,0,0,25,1
"80_1","A",1,0,0,25,1
"80_1","B",0,0,0,25,0
"80_2","A",1,1,0,25,1
"80_2","B",0,1,0,25,0
"80_3","A",0,0,0,25,0
"80_3","B",0,1,1,50,1
"80_4","A",1,0,0,50,0
"80_4","B",1,1,1,50,1
"80_5","A",1,0,1,50,0
"80_5","B",1,1,1,25,1
"80_6","A",0,0,1,50,0
"80_6","B",1,0,1,50,1
"80_7","A",0,0,0,25,0
"80_7","B",1,1,0,25,1
"80_8","A",1,1,0,50,0
"80_8","B",1,1,0,25,1
"81_1","A",1,0,0,50,1
"81_1","B",0,0,1,50,0
"81_2","A",0,1,0,50,1
"81_2","B",0,1,1,50,0
"81_3","A",1,0,0,50,0
"81_3","B",1,1,0,50,1
"81_4","A",1,1,0,50,1
"81_4","B",0,0,1,25,0
"81_5","A",1,1,0,50,1
"81_5","B",0,0,1,50,0
"81_6","A",0,1,0,50,0
"81_6","B",0,1,0,25,1
"81_7","A",0,1,1,25,1
"81_7","B",0,0,1,50,0
"81_8","A",0,1,0,25,0
"81_8","B",1,0,0,25,1
"82_1","A",0,0,1,25,1
"82_1","B",0,0,0,50,0
"82_2","A",0,0,1,25,0
"82_2","B",1,1,1,25,1
"82_3","A",0,0,1,25,0
"82_3","B",1,1,1,50,1
"82_4","A",1,1,1,25,1
"82_4","B",0,1,1,25,0
"82_5","A",1,0,0,50,0
"82_5","B",1,0,0,25,1
"82_6","A",1,0,1,25,0
"82_6","B",1,1,0,25,1
"82_7","A",0,1,1,25,1
"82_7","B",1,0,1,50,0
"82_8","A",0,1,1,50,0
"82_8","B",0,1,1,25,1
"83_1","A",1,1,1,25,1
"83_1","B",0,1,1,25,0
"83_2","A",1,1,0,50,1
"83_2","B",0,1,1,25,0
"83_3","A",0,1,1,25,1
"83_3","B",0,1,0,50,0
"83_4","A",1,1,1,25,1
"83_4","B",0,1,0,25,0
"83_5","A",0,0,0,50,0
"83_5","B",0,1,1,50,1
"83_6","A",1,1,1,50,1
"83_6","B",0,0,0,25,0
"83_7","A",1,1,1,50,0
"83_7","B",1,1,0,25,1
"83_8","A",1,1,1,50,1
"83_8","B",0,0,1,50,0
"84_1","A",1,0,1,25,1
"84_1","B",0,0,0,25,0
"84_2","A",0,0,1,50,0
"84_2","B",0,1,0,25,1
"84_3","A",1,1,1,50,0
"84_3","B",1,1,0,25,1
"84_4","A",1,1,1,50,1
"84_4","B",0,1,0,25,0
"84_5","A",1,1,0,50,1
"84_5","B",0,0,1,25,0
"84_6","A",0,0,0,25,0
"84_6","B",1,1,1,25,1
"84_7","A",1,1,1,50,1
"84_7","B",1,0,1,25,0
"84_8","A",0,0,1,50,0
"84_8","B",0,1,1,50,1
"85_1","A",0,0,1,25,0
"85_1","B",0,1,1,50,1
"85_2","A",0,1,0,50,1
"85_2","B",0,0,1,50,0
"85_3","A",0,0,1,25,0
"85_3","B",1,1,0,50,1
"85_4","A",1,0,1,25,0
"85_4","B",1,1,1,25,1
"85_5","A",0,1,1,50,1
"85_5","B",0,1,0,50,0
"85_6","A",0,1,0,50,1
"85_6","B",0,0,0,50,0
"85_7","A",1,0,1,50,1
"85_7","B",0,1,1,50,0
"85_8","A",0,0,0,25,1
"85_8","B",0,0,0,50,0
"86_1","A",1,0,0,25,1
"86_1","B",1,0,1,50,0
"86_2","A",0,1,1,50,1
"86_2","B",0,0,1,50,0
"86_3","A",0,0,0,50,0
"86_3","B",1,0,1,25,1
"86_4","A",0,1,0,50,1
"86_4","B",0,0,1,50,0
"86_5","A",1,0,1,50,0
"86_5","B",1,1,1,50,1
"86_6","A",1,0,1,50,0
"86_6","B",0,1,1,25,1
"86_7","A",1,1,0,50,1
"86_7","B",0,1,0,25,0
"86_8","A",1,1,1,25,1
"86_8","B",0,0,1,50,0
"87_1","A",1,1,0,50,0
"87_1","B",1,1,1,25,1
"87_2","A",1,1,0,25,1
"87_2","B",0,1,0,50,0
"87_3","A",1,0,1,25,0
"87_3","B",1,1,0,50,1
"87_4","A",0,1,1,25,0
"87_4","B",1,1,0,50,1
"87_5","A",1,1,0,50,1
"87_5","B",0,0,0,50,0
"87_6","A",0,0,0,25,0
"87_6","B",0,0,1,25,1
"87_7","A",1,0,0,25,1
"87_7","B",1,0,1,50,0
"87_8","A",1,1,1,50,0
"87_8","B",1,1,0,25,1
"88_1","A",0,1,0,25,0
"88_1","B",1,1,0,25,1
"88_2","A",1,1,0,50,1
"88_2","B",1,0,1,50,0
"88_3","A",1,1,1,25,1
"88_3","B",0,1,0,25,0
"88_4","A",0,1,0,50,0
"88_4","B",1,1,0,50,1
"88_5","A",1,1,1,25,1
"88_5","B",0,1,1,50,0
"88_6","A",1,0,1,25,1
"88_6","B",1,0,0,50,0
"88_7","A",0,1,0,50,0
"88_7","B",0,1,0,25,1
"88_8","A",0,0,0,25,0
"88_8","B",1,0,0,50,1
"89_1","A",0,1,0,50,0
"89_1","B",1,1,0,50,1
"89_2","A",0,0,0,50,0
"89_2","B",1,1,0,25,1
"89_3","A",0,0,1,25,0
"89_3","B",1,1,1,50,1
"89_4","A",1,0,1,50,0
"89_4","B",0,1,1,50,1
"89_5","A",1,1,0,50,1
"89_5","B",1,0,0,50,0
"89_6","A",0,1,0,50,1
"89_6","B",0,0,1,25,0
"89_7","A",1,1,0,50,1
"89_7","B",0,1,0,50,0
"89_8","A",1,0,0,25,0
"89_8","B",0,1,1,50,1
"8_1","A",0,1,1,25,1
"8_1","B",0,1,0,25,0
"8_2","A",1,0,0,50,0
"8_2","B",1,0,1,50,1
"8_3","A",1,0,1,50,1
"8_3","B",0,0,1,50,0
"8_4","A",1,0,0,50,1
"8_4","B",0,1,0,50,0
"8_5","A",1,0,1,25,0
"8_5","B",0,1,0,25,1
"8_6","A",0,1,0,25,0
"8_6","B",1,1,1,50,1
"8_7","A",0,1,1,25,0
"8_7","B",1,1,1,25,1
"8_8","A",1,1,1,50,1
"8_8","B",1,0,1,50,0
"90_1","A",0,0,1,25,0
"90_1","B",1,1,0,50,1
"90_2","A",0,0,0,50,0
"90_2","B",1,0,1,25,1
"90_3","A",1,0,0,25,1
"90_3","B",1,0,1,50,0
"90_4","A",0,1,0,50,1
"90_4","B",0,0,0,50,0
"90_5","A",0,1,1,50,0
"90_5","B",0,1,0,25,1
"90_6","A",1,1,0,50,0
"90_6","B",1,1,1,50,1
"90_7","A",1,0,1,50,0
"90_7","B",1,1,0,25,1
"90_8","A",1,0,1,50,1
"90_8","B",0,0,1,50,0
"91_1","A",0,0,0,25,0
"91_1","B",0,1,0,50,1
"91_2","A",0,1,0,25,0
"91_2","B",1,1,1,50,1
"91_3","A",1,1,0,25,1
"91_3","B",0,1,1,50,0
"91_4","A",1,0,1,25,1
"91_4","B",0,0,1,50,0
"91_5","A",1,0,0,50,0
"91_5","B",1,1,1,50,1
"91_6","A",0,1,1,25,1
"91_6","B",0,0,1,50,0
"91_7","A",1,1,1,50,1
"91_7","B",1,0,1,25,0
"91_8","A",0,0,0,50,0
"91_8","B",1,1,0,25,1
"92_1","A",0,1,1,50,1
"92_1","B",1,0,1,50,0
"92_2","A",0,1,0,50,1
"92_2","B",0,0,0,50,0
"92_3","A",0,0,0,25,0
"92_3","B",1,0,1,50,1
"92_4","A",0,1,1,25,1
"92_4","B",1,0,0,25,0
"92_5","A",1,0,0,25,1
"92_5","B",0,1,1,50,0
"92_6","A",1,0,0,25,0
"92_6","B",1,1,0,50,1
"92_7","A",1,0,1,25,1
"92_7","B",0,0,1,50,0
"92_8","A",1,0,1,50,1
"92_8","B",0,0,1,25,0
"93_1","A",0,1,1,25,1
"93_1","B",1,0,0,50,0
"93_2","A",0,1,1,25,1
"93_2","B",0,0,0,50,0
"93_3","A",0,1,0,50,1
"93_3","B",0,0,0,50,0
"93_4","A",1,0,1,50,0
"93_4","B",1,0,0,25,1
"93_5","A",1,0,0,50,0
"93_5","B",0,1,0,50,1
"93_6","A",0,0,1,25,0
"93_6","B",0,1,1,25,1
"93_7","A",1,0,1,25,1
"93_7","B",0,0,0,50,0
"93_8","A",0,0,0,25,0
"93_8","B",0,1,1,50,1
"94_1","A",0,0,0,50,0
"94_1","B",1,0,1,50,1
"94_2","A",0,0,0,50,0
"94_2","B",1,0,0,25,1
"94_3","A",0,0,0,25,0
"94_3","B",0,1,0,25,1
"94_4","A",0,1,1,50,1
"94_4","B",1,0,0,50,0
"94_5","A",1,0,0,25,1
"94_5","B",0,1,0,25,0
"94_6","A",1,1,0,25,1
"94_6","B",1,0,1,25,0
"94_7","A",1,0,1,50,0
"94_7","B",1,0,0,25,1
"94_8","A",0,1,0,25,1
"94_8","B",1,0,1,50,0
"95_1","A",1,0,0,25,1
"95_1","B",0,0,0,50,0
"95_2","A",0,1,1,50,1
"95_2","B",0,0,1,50,0
"95_3","A",1,1,0,25,1
"95_3","B",0,1,0,50,0
"95_4","A",1,0,0,50,0
"95_4","B",0,1,1,50,1
"95_5","A",1,1,0,25,1
"95_5","B",1,1,1,50,0
"95_6","A",0,0,0,50,0
"95_6","B",0,1,0,50,1
"95_7","A",1,0,0,25,1
"95_7","B",1,0,0,50,0
"95_8","A",0,0,0,25,0
"95_8","B",1,0,1,50,1
"96_1","A",1,1,0,50,1
"96_1","B",0,1,0,50,0
"96_2","A",0,1,1,25,1
"96_2","B",1,0,0,25,0
"96_3","A",0,0,0,25,0
"96_3","B",0,1,1,25,1
"96_4","A",1,1,0,25,1
"96_4","B",1,0,1,50,0
"96_5","A",0,1,0,50,0
"96_5","B",0,1,0,25,1
"96_6","A",1,0,1,25,1
"96_6","B",1,0,1,50,0
"96_7","A",0,0,1,25,0
"96_7","B",0,1,0,25,1
"96_8","A",0,1,1,50,1
"96_8","B",0,1,0,50,0
"97_1","A",1,1,1,25,1
"97_1","B",1,0,0,25,0
"97_2","A",0,0,0,25,0
"97_2","B",1,0,1,50,1
"97_3","A",0,0,0,50,0
"97_3","B",0,1,0,50,1
"97_4","A",1,1,0,25,1
"97_4","B",0,0,0,50,0
"97_5","A",0,1,0,50,0
"97_5","B",0,1,1,25,1
"97_6","A",0,0,0,25,0
"97_6","B",1,0,1,25,1
"97_7","A",1,1,1,50,0
"97_7","B",1,1,1,25,1
"97_8","A",1,0,1,50,0
"97_8","B",0,1,1,25,1
"98_1","A",0,0,1,50,0
"98_1","B",0,1,1,50,1
"98_2","A",0,0,0,25,0
"98_2","B",1,1,1,50,1
"98_3","A",1,1,0,25,1
"98_3","B",1,0,1,25,0
"98_4","A",0,1,0,25,1
"98_4","B",0,1,1,50,0
"98_5","A",1,0,0,50,0
"98_5","B",0,0,1,25,1
"98_6","A",0,0,1,50,0
"98_6","B",1,0,0,50,1
"98_7","A",1,1,0,50,1
"98_7","B",0,1,0,25,0
"98_8","A",0,0,1,50,0
"98_8","B",1,0,1,25,1
"99_1","A",0,0,1,50,0
"99_1","B",0,0,1,25,1
"99_2","A",1,1,1,50,1
"99_2","B",0,1,1,50,0
"99_3","A",0,1,1,50,0
"99_3","B",0,1,0,25,1
"99_4","A",1,1,0,25,1
"99_4","B",0,0,1,25,0
"99_5","A",1,0,1,50,0
"99_5","B",0,1,1,50,1
"99_6","A",0,1,0,50,1
"99_6","B",1,0,0,50,0
"99_7","A",0,0,1,50,1
"99_7","B",0,0,0,50,0
"99_8","A",1,1,0,50,0
"99_8","B",1,0,1,25,1
"9_1","A",0,1,1,50,1
"9_1","B",1,0,0,25,0
"9_2","A",0,1,1,25,1
"9_2","B",0,1,0,50,0
"9_3","A",1,1,1,25,1
"9_3","B",0,1,1,25,0
"9_4","A",1,1,1,50,1
"9_4","B",0,1,0,50,0
"9_5","A",0,1,0,50,0
"9_5","B",1,1,1,25,1
"9_6","A",1,1,1,25,1
"9_6","B",0,0,0,25,0
"9_7","A",1,1,1,50,1
"9_7","B",0,1,0,50,0
"9_8","A",0,1,0,25,0
"9_8","B",1,1,0,50,1
