"choice_set","alternative","appt_1week","travel_10min","portal_full","copay","choice"
"46_9","B",1,1,1,60,1
"47_1","A",1,1,1,60,0
"47_1","B",1,0,1,30,1
"47_10","A",1,0,1,30,1
"47_10","B",0,0,0,60,0
"47_2","A",1,1,0,60,1
"47_2","B",1,0,1,60,0
"47_3","A",0,0,1,60,0
"47_3","B",0,1,1,60,1
"47_4","A",0,1,1,60,0
"47_4","B",0,1,0,60,1
"47_5","A",1,0,1,60,1
"47_5","B",1,1,1,60,0
"47_6","A",0,0,1,30,0
"47_6","B",1,0,1,30,1
"47_7","A",1,0,0,60,0
"47_7","B",1,0,1,60,1
"47_8","A",0,0,1,30,1
"47_8","B",0,0,0,30,0
"47_9","A",0,1,0,60,0
"47_9","B",1,0,1,60,1
"48_1","A",1,0,1,60,1
"48_1","B",0,0,0,30,0
"48_10","A",0,1,1,60,0
"48_10","B",0,1,0,30,1
"48_2","A",0,1,0,60,0
"48_2","B",1,1,1,60,1
"48_3","A",1,1,1,60,1
"48_3","B",0,0,1,60,0
"48_4","A",0,1,0,60,0
"48_4","B",1,0,1,30,1
"48_5","A",1,1,1,60,1
"48_5","B",1,1,0,60,0
"48_6","A",0,1,0,60,0
"48_6","B",1,0,1,60,1
"48_7","A",0,0,1,30,0
"48_7","B",1,1,1,60,1
"48_8","A",1,0,1,60,0
"48_8","B",1,0,0,30,1
"48_9","A",1,1,1,60,1
"48_9","B",0,0,0,30,0
"49_1","A",1,1,0,30,1
"49_1","B",0,0,0,30,0
"49_10","A",0,0,1,30,0
"49_10","B",1,0,1,60,1
"49_2","A",1,1,0,60,1
"49_2","B",0,0,0,30,0
"49_3","A",1,1,1,30,1
"49_3","B",1,0,0,30,0
"49_4","A",0,1,0,30,1
"49_4","B",0,1,0,60,0
"49_5","A",1,0,0,60,0
"49_5","B",0,0,1,30,1
"49_6","A",1,1,1,60,1
"49_6","B",0,0,0,30,0
"49_7","A",0,0,0,60,0
"49_7","B",1,1,1,30,1
"49_8","A",0,1,1,60,0
"49_8","B",1,1,0,60,1
"49_9","A",0,1,1,60,0
"49_9","B",1,0,1,30,1
"4_1","A",1,1,0,60,1
"4_1","B",1,0,0,60,0
"4_10","A",1,1,1,30,1
"4_10","B",0,1,0,60,0
"4_2","A",0,0,1,30,0
"4_2","B",1,0,1,30,1
"4_3","A",1,1,0,30,1
"4_3","B",0,1,1,30,0
"4_4","A",1,0,1,60,0
"4_4","B",1,1,0,60,1
"4_5","A",0,1,1,60,0
"4_5","B",1,1,1,60,1
"4_6","A",1,1,1,30,1
"4_6","B",1,1,0,60,0
"4_7","A",0,1,0,30,0
"4_7","B",1,0,0,30,1
"4_8","A",1,1,1,60,1
"4_8","B",1,1,0,30,0
"4_9","A",1,0,0,30,1
"4_9","B",0,1,0,30,0
"50_1","A",1,1,0,30,1
"50_1","B",1,0,1,30,0
"50_10","A",1,0,1,60,1
"50_10","B",0,1,1,60,0
"50_2","A",1,0,1,60,1
"50_2","B",0,0,1,60,0
"50_3","A",0,1,1,60,0
"50_3","B",0,1,0,30,1
"50_4","A",1,1,0,30,1
"50_4","B",0,1,1,60,0
"50_5","A",0,1,1,60,0
"50_5","B",1,0,0,30,1
"50_6","A",1,1,0,60,1
"50_6","B",1,1,1,60,0
"50_7","A",0,1,1,30,1
"50_7","B",0,1,1,60,0
"50_8","A",0,0,1,60,0
"50_8","B",1,0,1,60,1
"50_9","A",1,1,1,30,1
"50_9","B",1,0,0,60,0
"51_1","A",0,0,0,30,1
"51_1","B",1,0,0,60,0
"51_10","A",0,0,1,60,0
"51_10","B",1,0,0,60,1
"51_2","A",0,0,1,30,1
"51_2","B",1,0,0,60,0
"51_3","A",0,1,0,30,0
"51_3","B",1,1,1,30,1
"51_4","A",0,1,0,30,1
"51_4","B",0,0,0,30,0
"51_5","A",0,0,1,60,0
"51_5","B",1,0,1,30,1
"51_6","A",0,0,0,60,0
"51_6","B",0,0,0,30,1
"51_7","A",0,0,1,60,0
"51_7","B",0,1,1,30,1
"51_8","A",1,1,0,60,0
"51_8","B",1,0,1,30,1
"51_9","A",1,1,1,30,1
"51_9","B",0,0,1,30,0
"52_1","A",1,0,1,60,1
"52_1","B",0,0,1,30,0
"52_10","A",1,0,0,60,0
"52_10","B",1,0,1,60,1
"52_2","A",1,1,0,30,1
"52_2","B",1,0,1,30,0
"52_3","A",0,0,0,30,0
"52_3","B",1,0,0,30,1
"52_4","A",0,0,1,60,1
"52_4","B",0,0,0,60,0
"52_5","A",1,1,1,30,1
"52_5","B",0,0,1,60,0
"52_6","A",1,0,1,60,0
"52_6","B",1,1,1,30,1
"52_7","A",0,1,1,30,1
"52_7","B",0,0,0,60,0
"52_8","A",0,0,1,60,0
"52_8","B",1,0,0,30,1
"52_9","A",0,1,1,30,1
"52_9","B",0,1,0,30,0
"53_1","A",1,0,1,60,1
"53_1","B",0,0,1,60,0
"53_10","A",1,1,1,60,1
"53_10","B",0,1,0,60,0
"53_2","A",1,0,0,60,1
"53_2","B",0,1,0,60,0
"53_3","A",1,0,1,30,0
"53_3","B",0,1,0,30,1
"53_4","A",0,1,0,30,0
"53_4","B",1,1,1,60,1
"53_5","A",0,1,1,30,0
"53_5","B",1,1,1,30,1
"53_6","A",1,1,1,60,1
"53_6","B",1,0,1,60,0
"53_7","A",0,1,1,60,0
"53_7","B",1,0,0,30,1
"53_8","A",0,1,1,30,1
"53_8","B",0,1,0,60,0
"53_9","A",1,1,1,30,1
"53_9","B",0,1,1,30,0
"54_1","A",0,1,0,60,0
"54_1","B",1,1,1,30,1
"54_10","A",1,0,0,30,1
"54_10","B",0,1,0,60,0
"54_2","A",1,1,1,30,1
"54_2","B",0,0,0,30,0
"54_3","A",1,1,1,60,1
"54_3","B",0,1,0,60,0
"54_4","A",0,1,0,30,0
"54_4","B",1,1,0,60,1
"54_5","A",1,1,1,30,1
"54_5","B",1,1,0,60,0
"54_6","A",1,0,1,60,0
"54_6","B",1,1,1,60,1
"54_7","A",0,1,0,30,0
"54_7","B",0,1,1,30,1
"54_8","A",0,1,0,60,0
"54_8","B",1,0,0,30,1
"54_9","A",1,1,0,60,1
"54_9","B",0,0,0,30,0
"55_1","A",1,0,1,60,1
"55_1","B",0,0,0,60,0
"55_10","A",1,0,0,60,0
"55_10","B",0,1,1,30,1
"55_2","A",1,0,0,30,0
"55_2","B",1,1,1,30,1
"55_3","A",1,1,0,30,0
"55_3","B",1,1,1,30,1
"55_4","A",0,0,0,30,0
"55_4","B",0,1,1,60,1
"55_5","A",1,0,1,60,1
"55_5","B",0,0,1,60,0
"55_6","A",1,1,1,30,1
"55_6","B",1,1,0,30,0
"55_7","A",1,0,0,60,1
"55_7","B",0,0,1,30,0
"55_8","A",0,1,0,30,1
"55_8","B",1,0,0,60,0
"55_9","A",1,0,0,30,0
"55_9","B",1,1,0,30,1
"56_1","A",0,1,1,60,1
"56_1","B",0,0,0,30,0
"56_10","A",0,1,1,30,0
"56_10","B",1,1,1,60,1
"56_2","A",0,0,1,60,0
"56_2","B",0,1,1,30,1
"56_3","A",0,1,1,60,1
"56_3","B",0,0,0,30,0
"56_4","A",0,1,1,30,1
"56_4","B",1,1,1,60,0
"56_5","A",0,0,1,30,0
"56_5","B",0,1,1,60,1
"56_6","A",0,1,1,30,1
"56_6","B",0,1,0,60,0
"56_7","A",0,1,0,30,1
"56_7","B",0,0,1,60,0
"56_8","A",0,1,1,60,0
"56_8","B",1,0,1,60,1
"56_9","A",1,0,0,60,0
"56_9","B",1,1,1,30,1
"57_1","A",1,0,0,30,1
"57_1","B",0,1,1,30,0
"57_10","A",1,0,1,60,0
"57_10","B",0,0,1,30,1
"57_2","A",0,1,1,60,0
"57_2","B",1,1,1,30,1
"57_3","A",1,0,0,30,0
"57_3","B",1,1,1,30,1
"57_4","A",0,0,1,60,0
"57_4","B",1,1,1,30,1
"57_5","A",0,0,1,60,0
"57_5","B",1,1,1,60,1
"57_6","A",1,0,0,60,0
"57_6","B",1,0,1,60,1
"57_7","A",1,1,1,30,1
"57_7","B",1,0,0,30,0
"57_8","A",0,0,1,60,0
"57_8","B",0,1,0,30,1
"57_9","A",1,0,0,60,0
"57_9","B",1,1,1,30,1
"58_1","A",1,0,1,30,1
"58_1","B",1,0,1,60,0
"58_10","A",1,1,1,30,1
"58_10","B",1,0,1,30,0
"58_2","A",1,0,0,60,1
"58_2","B",0,1,0,60,0
"58_3","A",0,1,0,60,0
"58_3","B",1,0,0,30,1
"58_4","A",0,0,0,30,0
"58_4","B",1,1,1,30,1
"58_5","A",1,0,1,30,1
"58_5","B",0,1,1,30,0
"58_6","A",1,1,0,30,1
"58_6","B",0,1,0,30,0
"58_7","A",0,0,0,30,0
"58_7","B",0,1,0,30,1
"58_8","A",1,0,0,30,1
"58_8","B",1,0,0,60,0
"58_9","A",0,0,1,60,0
"58_9","B",0,1,0,60,1
"59_1","A",0,0,1,30,1
"59_1","B",0,0,0,60,0
"59_10","A",1,1,1,30,1
"59_10","B",0,1,0,30,0
"59_2","A",0,0,1,60,0
"59_2","B",1,0,1,30,1
"59_3","A",0,0,1,30,0
"59_3","B",1,0,0,30,1
"59_4","A",0,0,1,30,1
"59_4","B",1,0,0,60,0
"59_5","A",1,0,1,60,0
"59_5","B",0,1,1,30,1
"59_6","A",0,1,1,30,1
"59_6","B",0,0,1,30,0
"59_7","A",1,0,1,30,1
"59_7","B",0,0,0,60,0
"59_8","A",0,0,0,30,1
"59_8","B",0,0,1,60,0
"59_9","A",1,0,0,30,0
"59_9","B",1,1,1,60,1
"5_1","A",1,1,0,60,1
"5_1","B",0,0,0,60,0
"5_10","A",1,0,1,30,1
"5_10","B",1,0,0,30,0
"5_2","A",1,0,1,30,1
"5_2","B",0,1,0,30,0
"5_3","A",0,1,1,30,1
"5_3","B",0,1,1,60,0
"5_4","A",1,1,1,60,1
"5_4","B",0,1,1,30,0
"5_5","A",0,0,0,30,0
"5_5","B",1,1,1,30,1
"5_6","A",1,1,0,60,1
"5_6","B",1,0,0,60,0
"5_7","A",1,1,0,60,1
"5_7","B",1,0,0,30,0
"5_8","A",0,1,1,30,1
"5_8","B",0,1,1,60,0
"5_9","A",1,1,1,30,1
"5_9","B",0,0,1,60,0
"60_1","A",1,1,1,30,1
"60_1","B",0,1,1,30,0
"60_10","A",0,1,0,60,0
"60_10","B",0,1,1,30,1
"60_2","A",1,1,1,30,1
"60_2","B",0,0,0,30,0
"60_3","A",1,0,0,60,1
"60_3","B",0,1,0,60,0
"60_4","A",0,1,0,30,0
"60_4","B",1,0,1,30,1
"60_5","A",0,1,1,30,1
"60_5","B",0,0,0,30,0
"60_6","A",0,1,1,60,0
"60_6","B",1,0,1,30,1
"60_7","A",0,1,0,60,0
"60_7","B",0,0,0,30,1
"60_8","A",1,0,0,30,1
"60_8","B",0,1,1,60,0
"60_9","A",0,1,1,60,1
"60_9","B",1,0,0,60,0
"61_1","A",0,1,0,30,0
"61_1","B",1,0,0,30,1
"61_10","A",0,1,0,60,0
"61_10","B",0,1,1,30,1
"61_2","A",0,0,0,30,0
"61_2","B",1,0,1,30,1
"61_3","A",1,0,1,30,1
"61_3","B",1,1,0,60,0
"61_4","A",1,1,0,30,1
"61_4","B",1,1,1,60,0
"61_5","A",0,1,1,30,1
"61_5","B",1,0,1,60,0
"61_6","A",0,0,1,30,1
"61_6","B",0,0,0,60,0
"61_7","A",1,1,1,30,1
"61_7","B",1,0,1,60,0
"61_8","A",1,1,1,30,1
"61_8","B",0,1,0,30,0
"61_9","A",0,0,0,60,0
"61_9","B",0,1,1,30,1
"62_1","A",0,1,0,60,0
"62_1","B",0,0,1,30,1
"62_10","A",0,1,1,60,1
"62_10","B",0,1,0,60,0
"62_2","A",0,0,1,60,0
"62_2","B",1,0,1,60,1
"62_3","A",0,0,1,30,0
"62_3","B",1,0,1,60,1
"62_4","A",1,1,1,30,1
"62_4","B",1,1,1,60,0
"62_5","A",1,0,0,60,0
"62_5","B",1,1,0,30,1
"62_6","A",1,1,1,60,1
"62_6","B",1,0,1,30,0
"62_7","A",0,1,1,30,0
"62_7","B",0,1,0,30,1
"62_8","A",0,0,1,60,0
"62_8","B",1,0,1,60,1
"62_9","A",1,0,0,60,0
"62_9","B",1,1,1,60,1
"63_1","A",1,1,0,60,0
"63_1","B",1,1,1,30,1
"63_10","A",1,1,1,60,0
"63_10","B",1,1,0,30,1
"63_2","A",0,0,0,60,0
"63_2","B",1,1,0,60,1
"63_3","A",0,1,1,30,0
"63_3","B",1,1,1,60,1
"63_4","A",0,0,0,60,0
"63_4","B",0,0,1,30,1
"63_5","A",1,0,0,30,1
"63_5","B",1,0,0,60,0
"63_6","A",1,1,0,60,1
"63_6","B",0,0,1,30,0
"63_7","A",1,0,1,60,0
"63_7","B",1,1,1,30,1
"63_8","A",0,0,0,30,1
"63_8","B",0,1,1,60,0
"63_9","A",1,0,0,30,1
"63_9","B",0,1,1,30,0
"64_1","A",0,0,1,30,0
"64_1","B",1,1,1,60,1
"64_10","A",0,0,1,30,1
"64_10","B",0,0,0,30,0
"64_2","A",0,0,1,60,1
"64_2","B",0,1,0,60,0
"64_3","A",0,1,1,30,0
"64_3","B",1,1,1,60,1
"64_4","A",1,1,1,60,1
"64_4","B",0,0,0,60,0
"64_5","A",0,1,1,60,0
"64_5","B",0,1,0,30,1
"64_6","A",1,0,1,30,0
"64_6","B",1,1,1,30,1
"64_7","A",1,0,1,30,1
"64_7","B",0,0,0,60,0
"64_8","A",1,1,1,30,1
"64_8","B",1,0,1,60,0
"64_9","A",1,0,0,60,0
"64_9","B",1,0,1,30,1
"65_1","A",0,0,0,30,0
"65_1","B",1,0,0,30,1
"65_10","A",1,1,1,60,1
"65_10","B",1,1,0,60,0
"65_2","A",1,0,0,30,0
"65_2","B",0,1,1,30,1
"65_3","A",0,0,1,60,0
"65_3","B",0,1,1,60,1
"65_4","A",1,0,1,30,1
"65_4","B",0,0,1,30,0
"65_5","A",0,0,1,60,1
"65_5","B",0,0,0,30,0
"65_6","A",0,1,1,30,1
"65_6","B",0,1,1,60,0
"65_7","A",1,1,1,60,1
"65_7","B",0,0,0,30,0
"65_8","A",1,1,1,30,1
"65_8","B",1,0,1,60,0
"65_9","A",0,0,0,30,1
"65_9","B",0,0,1,60,0
"66_1","A",1,0,1,60,0
"66_1","B",1,0,0,30,1
"66_10","A",1,1,0,60,1
"66_10","B",0,1,1,30,0
"66_2","A",1,1,1,30,1
"66_2","B",0,0,0,30,0
"66_3","A",0,0,1,30,0
"66_3","B",0,1,0,30,1
"66_4","A",0,1,0,60,0
"66_4","B",0,1,1,30,1
"66_5","A",1,1,1,30,1
"66_5","B",0,1,1,60,0
"66_6","A",0,1,0,60,1
"66_6","B",0,0,0,60,0
"66_7","A",1,1,1,30,1
"66_7","B",0,1,1,30,0
"66_8","A",1,1,1,60,0
"66_8","B",1,1,0,30,1
"66_9","A",1,1,1,30,1
"66_9","B",1,0,0,60,0
"67_1","A",1,1,1,30,1
"67_1","B",0,1,1,30,0
"67_10","A",0,1,1,30,0
"67_10","B",1,1,0,30,1
"67_2","A",1,0,0,30,0
"67_2","B",1,1,0,60,1
"67_3","A",0,1,1,60,1
"67_3","B",0,0,0,30,0
"67_4","A",0,1,0,60,0
"67_4","B",1,1,0,60,1
"67_5","A",0,1,0,60,0
"67_5","B",1,1,0,60,1
"67_6","A",0,0,1,30,1
"67_6","B",0,0,1,60,0
"67_7","A",0,1,0,30,1
"67_7","B",0,0,0,60,0
"67_8","A",1,0,0,60,0
"67_8","B",0,1,1,60,1
"67_9","A",0,0,0,30,0
"67_9","B",1,0,1,60,1
"68_1","A",0,0,1,60,0
"68_1","B",1,1,1,60,1
"68_10","A",1,0,1,60,1
"68_10","B",0,1,0,60,0
"68_2","A",1,0,0,30,1
"68_2","B",1,1,1,60,0
"68_3","A",1,0,0,30,1
"68_3","B",0,0,1,60,0
"68_4","A",1,0,0,30,1
"68_4","B",0,0,1,30,0
"68_5","A",1,0,1,60,0
"68_5","B",1,0,0,30,1
"68_6","A",0,0,1,30,0
"68_6","B",1,0,1,30,1
"68_7","A",1,1,1,30,1
"68_7","B",0,1,1,30,0
"68_8","A",1,0,0,60,0
"68_8","B",1,1,0,30,1
"68_9","A",1,0,1,60,0
"68_9","B",1,0,0,30,1
"69_1","A",1,1,0,30,1
"69_1","B",0,0,1,60,0
"69_10","A",0,1,0,60,0
"69_10","B",1,1,0,30,1
"69_2","A",0,1,1,30,0
"69_2","B",1,0,1,30,1
"69_3","A",0,0,0,30,1
"69_3","B",1,0,0,60,0
"69_4","A",0,1,1,30,1
"69_4","B",1,0,0,30,0
"69_5","A",0,1,1,30,0
"69_5","B",1,0,1,30,1
"69_6","A",1,1,1,30,1
"69_6","B",0,0,0,30,0
"69_7","A",0,1,0,60,0
"69_7","B",1,0,1,60,1
"69_8","A",0,1,0,30,0
"69_8","B",1,0,1,30,1
"69_9","A",1,1,0,60,1
"69_9","B",0,0,0,60,0
"6_1","A",0,1,0,60,0
"6_1","B",0,0,0,30,1
"6_10","A",0,1,0,30,0
"6_10","B",1,1,1,30,1
"6_2","A",0,0,0,60,0
"6_2","B",0,0,0,30,1
"6_3","A",0,0,1,30,0
"6_3","B",0,1,1,60,1
"6_4","A",0,0,1,60,0
"6_4","B",0,1,0,30,1
"6_5","A",1,0,0,30,1
"6_5","B",0,0,0,60,0
"6_6","A",0,0,1,30,0
"6_6","B",1,0,0,30,1
"6_7","A",0,1,1,30,1
"6_7","B",1,0,1,60,0
"6_8","A",1,1,1,60,1
"6_8","B",0,0,0,60,0
"6_9","A",1,0,0,60,0
"6_9","B",1,0,0,30,1
"70_1","A",0,0,1,60,0
"70_1","B",1,1,1,30,1
"70_10","A",1,0,0,30,1
"70_10","B",0,1,1,60,0
"70_2","A",1,1,1,60,1
"70_2","B",0,1,1,60,0
"70_3","A",1,0,0,30,0
"70_3","B",1,0,1,60,1
"70_4","A",0,1,1,30,1
"70_4","B",1,0,0,60,0
"70_5","A",1,0,0,60,1
"70_5","B",0,1,0,60,0
"70_6","A",0,0,0,30,0
"70_6","B",0,1,0,30,1
"70_7","A",0,0,0,60,0
"70_7","B",0,0,1,30,1
"70_8","A",1,1,1,60,1
"70_8","B",0,1,1,60,0
"70_9","A",1,1,1,60,1
"70_9","B",0,1,0,30,0
"71_1","A",0,0,1,30,0
"71_1","B",1,0,0,30,1
"71_10","A",0,1,1,30,1
"71_10","B",0,1,0,30,0
"71_2","A",1,1,1,30,1
"71_2","B",0,0,1,30,0
"71_3","A",0,0,0,30,0
"71_3","B",0,1,0,60,1
"71_4","A",0,0,1,60,0
"71_4","B",1,0,1,30,1
"71_5","A",1,0,1,60,1
"71_5","B",0,0,1,30,0
"71_6","A",1,0,0,30,1
"71_6","B",0,0,0,30,0
"71_7","A",0,0,0,30,0
"71_7","B",1,1,0,60,1
"71_8","A",1,1,0,30,1
"71_8","B",1,0,0,30,0
"71_9","A",0,0,0,60,0
"71_9","B",0,0,1,30,1
"72_1","A",0,1,1,60,0
"72_1","B",1,1,1,30,1
"72_10","A",0,1,0,30,0
"72_10","B",1,1,1,60,1
"72_2","A",1,1,1,30,1
"72_2","B",0,0,0,30,0
"72_3","A",1,0,1,60,0
"72_3","B",1,1,0,30,1
"72_4","A",1,0,1,30,1
"72_4","B",1,0,0,60,0
"72_5","A",0,1,0,30,1
"72_5","B",1,0,1,60,0
"72_6","A",1,0,0,30,1
"72_6","B",0,0,0,60,0
"72_7","A",0,1,1,30,1
"72_7","B",0,1,0,30,0
"72_8","A",0,0,0,30,0
"72_8","B",1,1,0,30,1
"72_9","A",0,1,0,30,1
"72_9","B",0,1,0,60,0
"73_1","A",1,0,1,30,1
"73_1","B",1,0,0,60,0
"73_10","A",1,1,1,60,1
"73_10","B",0,0,0,60,0
"73_2","A",0,0,0,30,1
"73_2","B",0,0,0,60,0
"73_3","A",0,1,1,30,1
"73_3","B",1,1,0,60,0
"73_4","A",0,1,1,30,0
"73_4","B",1,1,1,60,1
"73_5","A",0,1,0,30,0
"73_5","B",1,0,1,30,1
"73_6","A",1,0,0,60,0
"73_6","B",1,0,1,60,1
"73_7","A",0,1,1,30,0
"73_7","B",1,1,0,30,1
"73_8","A",0,1,1,30,0
"73_8","B",1,1,0,30,1
"73_9","A",0,1,0,60,0
"73_9","B",1,0,0,60,1
"74_1","A",1,0,1,30,1
"74_1","B",0,1,0,60,0
"74_10","A",1,1,0,30,1
"74_10","B",1,0,1,60,0
"74_2","A",1,0,0,30,1
"74_2","B",0,1,0,60,0
"74_3","A",0,0,1,60,0
"74_3","B",1,0,0,60,1
"74_4","A",0,1,0,30,0
"74_4","B",1,0,1,30,1
"74_5","A",1,1,1,60,1
"74_5","B",0,0,0,60,0
"74_6","A",1,1,1,60,1
"74_6","B",0,1,0,30,0
"74_7","A",1,1,0,60,0
"74_7","B",1,1,1,30,1
"74_8","A",1,1,0,30,1
"74_8","B",0,0,1,60,0
"74_9","A",0,1,0,30,0
"74_9","B",1,0,1,60,1
"75_1","A",1,0,1,60,1
"75_1","B",0,0,1,60,0
"75_10","A",1,1,0,60,0
"75_10","B",1,1,1,30,1
"75_2","A",0,0,0,60,0
"75_2","B",1,1,1,60,1
"75_3","A",1,1,0,30,1
"75_3","B",0,1,1,60,0
"75_4","A",0,0,0,30,0
"75_4","B",1,0,1,60,1
"75_5","A",0,1,0,60,0
"75_5","B",1,1,1,30,1
"75_6","A",1,0,0,60,0
"75_6","B",1,0,1,60,1
"75_7","A",1,1,1,60,0
"75_7","B",0,1,1,30,1
"75_8","A",1,0,0,30,1
"75_8","B",0,1,0,30,0
"75_9","A",0,1,1,30,1
"75_9","B",0,1,1,60,0
"76_1","A",1,1,0,30,1
"76_1","B",1,1,0,60,0
"76_10","A",0,1,1,30,1
"76_10","B",0,0,1,30,0
"76_2","A",0,0,0,60,0
"76_2","B",0,0,0,30,1
"76_3","A",1,1,1,60,1
"76_3","B",1,0,1,30,0
"76_4","A",0,1,0,30,0
"76_4","B",0,1,1,30,1
"76_5","A",1,0,1,60,1
"76_5","B",0,1,0,60,0
"76_6","A",0,0,0,60,0
"76_6","B",1,1,1,30,1
"76_7","A",1,1,1,60,1
"76_7","B",1,0,1,60,0
"76_8","A",1,1,1,60,1
"76_8","B",1,0,0,30,0
"76_9","A",0,0,1,60,0
"76_9","B",1,1,0,30,1
"77_1","A",1,1,1,60,1
"77_1","B",0,1,0,60,0
"77_10","A",0,0,0,60,0
"77_10","B",0,1,0,60,1
"77_2","A",1,0,1,30,1
"77_2","B",0,0,1,60,0
"77_3","A",0,0,0,60,0
"77_3","B",0,1,1,60,1
"77_4","A",0,0,0,30,1
"77_4","B",0,1,0,60,0
"77_5","A",1,1,1,30,1
"77_5","B",0,1,0,30,0
"77_6","A",0,1,1,30,0
"77_6","B",1,0,1,30,1
"77_7","A",0,1,0,60,0
"77_7","B",0,1,1,60,1
"77_8","A",0,1,1,30,1
"77_8","B",1,1,0,60,0
"77_9","A",1,1,1,30,1
"77_9","B",0,1,1,60,0
"78_1","A",0,0,0,30,0
"78_1","B",0,1,1,30,1
"78_10","A",0,0,0,60,0
"78_10","B",0,0,1,30,1
"78_2","A",1,0,1,60,0
"78_2","B",1,1,0,30,1
"78_3","A",1,1,0,30,1
"78_3","B",0,0,0,30,0
"78_4","A",0,0,0,30,0
"78_4","B",1,0,0,60,1
"78_5","A",1,0,1,60,1
"78_5","B",0,0,0,60,0
"78_6","A",0,0,1,30,0
"78_6","B",1,0,1,60,1
"78_7","A",1,1,0,60,0
"78_7","B",1,1,0,30,1
"78_8","A",1,0,1,30,1
"78_8","B",1,1,1,60,0
"78_9","A",0,0,1,60,0
"78_9","B",0,1,1,60,1
"79_1","A",1,1,0,60,1
"79_1","B",0,1,0,60,0
"79_10","A",0,0,1,30,0
"79_10","B",0,1,1,60,1
"79_2","A",0,1,0,30,0
"79_2","B",1,1,1,30,1
"79_3","A",1,1,1,30,1
"79_3","B",0,0,0,60,0
"79_4","A",1,1,1,60,1
"79_4","B",1,0,0,60,0
"79_5","A",1,1,0,60,0
"79_5","B",1,1,0,30,1
"79_6","A",0,0,0,60,0
"79_6","B",0,1,0,30,1
"79_7","A",1,0,0,30,0
"79_7","B",1,1,1,30,1
"79_8","A",0,0,0,30,0
"79_8","B",1,0,1,60,1
"79_9","A",0,0,1,60,0
"79_9","B",1,1,1,60,1
"7_1","A",1,0,1,30,1
"7_1","B",0,0,1,30,0
"7_10","A",0,1,1,30,1
"7_10","B",0,0,1,60,0
"7_2","A",0,0,0,60,0
"7_2","B",0,1,0,60,1
"7_3","A",1,1,1,60,1
"7_3","B",0,0,0,30,0
"7_4","A",0,0,0,30,0
"7_4","B",1,0,1,30,1
"7_5","A",0,0,1,60,0
"7_5","B",0,1,1,60,1
"7_6","A",0,1,0,30,0
"7_6","B",1,0,0,60,1
"7_7","A",0,0,1,60,0
"7_7","B",1,0,0,60,1
"7_8","A",1,1,1,30,1
"7_8","B",0,0,0,60,0
"7_9","A",0,1,0,60,1
"7_9","B",0,0,1,60,0
"80_1","A",1,1,1,60,1
"80_1","B",0,1,0,30,0
"80_10","A",1,1,1,60,0
"80_10","B",1,0,1,30,1
"80_2","A",1,0,1,30,1
"80_2","B",1,0,1,60,0
"80_3","A",1,1,1,30,1
"80_3","B",1,0,1,60,0
"80_4","A",1,0,0,60,0
"80_4","B",1,1,0,30,1
"80_5","A",0,1,1,30,1
"80_5","B",0,1,1,60,0
"80_6","A",0,1,1,60,0
"80_6","B",1,0,1,60,1
"80_7","A",0,1,1,60,0
"80_7","B",1,1,1,30,1
"80_8","A",0,1,1,60,1
"80_8","B",1,0,0,60,0
"80_9","A",0,0,0,60,0
"80_9","B",0,1,1,60,1
"81_1","A",1,1,0,60,1
"81_1","B",0,0,0,30,0
"81_10","A",1,0,1,60,0
"81_10","B",1,0,0,30,1
"81_2","A",0,0,1,60,0
"81_2","B",0,1,1,30,1
"81_3","A",0,0,0,60,0
"81_3","B",0,0,1,60,1
"81_4","A",0,1,0,30,0
"81_4","B",1,0,0,30,1
"81_5","A",0,1,1,30,1
"81_5","B",0,0,0,30,0
"81_6","A",0,0,0,30,0
"81_6","B",1,1,0,30,1
"81_7","A",1,0,0,60,0
"81_7","B",1,0,0,30,1
"81_8","A",0,1,1,30,1
"81_8","B",0,0,1,30,0
"81_9","A",0,1,0,30,0
"81_9","B",0,1,1,30,1
"82_1","A",1,0,1,60,1
"82_1","B",0,0,0,30,0
"82_10","A",1,1,0,60,1
"82_10","B",1,0,1,60,0
"82_2","A",0,0,1,60,0
"82_2","B",0,0,0,30,1
"82_3","A",0,0,1,60,0
"82_3","B",1,1,0,30,1
"82_4","A",0,1,1,60,1
"82_4","B",1,0,0,60,0
"82_5","A",1,1,0,30,0
"82_5","B",1,1,1,30,1
"82_6","A",1,1,1,60,0
"82_6","B",1,0,0,30,1
"82_7","A",1,1,0,30,1
"82_7","B",0,0,1,30,0
"82_8","A",0,0,1,60,0
"82_8","B",0,1,1,30,1
"82_9","A",1,1,1,30,1
"82_9","B",1,0,1,30,0
"83_1","A",0,0,1,60,0
"83_1","B",0,1,0,30,1
"83_10","A",0,0,0,60,0
"83_10","B",1,1,0,30,1
"83_2","A",0,1,1,30,0
"83_2","B",1,0,0,30,1
"83_3","A",1,0,0,60,0
"83_3","B",0,1,0,30,1
"83_4","A",0,0,0,30,1
"83_4","B",0,1,0,60,0
"83_5","A",1,1,1,60,1
"83_5","B",0,0,0,30,0
"83_6","A",0,0,1,60,0
"83_6","B",1,0,1,30,1
"83_7","A",1,0,0,60,0
"83_7","B",1,0,1,60,1
"83_8","A",0,1,1,30,1
"83_8","B",0,1,0,60,0
"83_9","A",1,0,1,60,0
"83_9","B",0,0,1,30,1
